ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,label
1558342575.320023,CvM5CP1EAsdpqYnZn8,192.168.0.13,9020,192.168.0.16,49668,tcp,,,,,OTH,T,T,0,RT,1,1440,0,0,,6,0
1558342575.952551,C7N5Q3RzzgCaJIq21,192.168.0.13,169,248.250.9.234,40795,tcp,,,,,OTH,T,T,0,I,1,1440,0,0,,6,0
1558342581.677407,CVSx2esOIE7lrNBN3,192.168.0.24,51846,223.39.118.176,443,tcp,,0.046955,0.0,37.0,SHR,T,F,0,^dfA,2,80,2,117,,6,0
1558342588.301192,CuDWbx3WsN6jGHsm85,192.168.0.24,42038,211.188.147.64,443,tcp,ssl,0.312335,218222.0,7058.0,RSTO,T,F,2920,ShADadtTTGfR,182,251802,91,13020,,6,0
1558342592.703231,CS7JMu1KQbPtcyeuye,192.168.0.24,58021,223.39.118.176,443,tcp,,,,,RSTRH,T,F,0,^r,0,0,1,40,,6,0
1558342592.924077,CoipgG3aHm8Oh8xUog,192.168.0.24,53216,223.39.123.191,443,tcp,,0.005964,37.0,0.0,RSTR,T,F,0,DFr,2,117,1,40,,6,0
1558342592.928961,CTuRPe3i26q9O3FDk,192.168.0.24,51165,223.39.123.191,443,tcp,,0.007335,37.0,0.0,RSTR,T,F,0,DFr,2,117,1,40,,6,0
1558342592.990521,CFj6xC3QmnqCkMQmCf,192.168.0.24,54731,223.39.118.176,443,tcp,,,,,RSTRH,T,F,0,^r,0,0,1,40,,6,0
1558342592.991772,CCQIHC2pzzsWSIob1b,192.168.0.24,40089,223.39.118.176,443,tcp,,,,,RSTRH,T,F,0,^r,0,0,1,40,,6,0
1558342592.991912,CG78Q641i34eaFiEGh,192.168.0.24,33157,223.39.118.176,443,tcp,,,,,RSTRH,T,F,0,^r,0,0,1,40,,6,0
1558342588.287214,CUDYix0tvwVfI7QX,192.168.0.24,37687,163.152.1.1,53,udp,dns,0.00147,37.0,206.0,SF,T,F,0,Dd,1,65,1,234,,17,0
1558342594.886535,CQu0nZ1TujMxvBmWPd,192.168.0.24,51846,223.39.118.176,443,tcp,,,,,RSTRH,T,F,0,^r,0,0,1,40,,6,0
1558342592.684566,CosMfB25v3aCVKRhN2,192.168.0.24,58382,223.39.123.193,8100,tcp,,3.541442,11111.0,1121.0,SF,T,F,0,ShADadTFf,34,18901,29,2285,,6,0
1558342599.26293,CSjNLC2bbVOGQESwU7,192.168.0.13,9020,192.168.0.16,34130,tcp,,,,,OTH,T,T,0,IT,1,1440,0,0,,6,0
1558342597.38728,CPZEwD1hAHNDwXlhB4,192.168.0.24,54218,223.39.123.245,7000,tcp,,1.971904,1777.0,229206.0,SF,T,F,38,ShADadttGFf,148,7679,224,266442,,6,0
1558342602.160507,CFsG351HZK7lKHrcQ8,192.168.0.13,9020,192.168.0.16,49764,tcp,,,,,OTH,T,T,0,RT,1,1440,0,0,,6,0
1558342597.049404,CSAXVQ2eXsGXowzYz3,192.168.0.13,5353,224.0.0.251,5353,udp,dns,13.053608,665.0,0.0,S0,T,T,0,D,19,1197,0,0,,17,0
1558342630.9812,CFxetv4KtlVfbSQFr2,192.168.0.16,49788,192.168.0.13,9010,tcp,,0.040838,336.0,206.0,RSTO,T,T,0,ShADTadftR,11,1232,14,1774,,6,0
